E1,px1,py1,pz1,E2,px2,py2,pz2,M,Class
123.7767,40.5594,34.3651,111.7794,57.7347,-20.7786,-32.0352,43.3047,92.1878,1
57.1225,10.4566,-37.5648,41.7436,202.3834,-11.039000000000001,35.4207,198.9536,96.9703,1
106.7179,25.5882,30.366999999999997,-99.0546,50.7663,-2.1821,-37.507,-34.1421,80.381,1
102.85,24.4012,-23.9802,96.9931,26.2917,-20.0023,16.0185,-5.8796,91.0669,1
92.0088,-13.237,-52.473,74.4109,64.1895,37.7156,21.8803,47.107,89.9787,1
202.7703,29.9966,-58.4555,191.8305,96.7233,-14.2376,46.3887,83.6706,115.7651,1
335.0046,-31.3497,-55.3745,-328.9057,111.5417,-18.4461,43.4689,-101.0532,109.1678,1
64.6836,-4.7041,32.8938,55.4962,36.3505,18.6178,-23.8975,-20.0909,93.1655,1
60.5881,-48.9572,17.5406,31.0876,58.3688,30.5236,-29.5698,40.0107,92.79700000000001,1
53.3328,-40.6224,32.596,11.4763,56.4162,12.0643,-35.9551,41.7668,91.5596,1
50.3189,-36.912,-26.6241,21.4628,45.68899999999999,20.5051,9.9862,-39.5891,91.3397,1
50.052,-39.3546,30.9037,1.1742,48.4237,22.7138,-30.6607,29.8137,91.9796,1
163.8473,-32.8486,-4.0649,-160.4693,33.754,32.4866,-2.9865,-8.6624,101.9358,1
67.6765,65.4066,-16.2464,-6.176,56.175,-4.3209,42.3098,-36.6994,95.3422,1
52.7109,47.9317,2.1288,-21.828000000000003,46.1638,-42.2883,-11.0625,-14.8465,91.2114,1
123.7339,-22.3517,42.4482,114.0554,102.4392,12.4983,-45.7042,90.8224,95.2454,1
125.1728,-9.4134,47.2162,115.5432,68.1512,12.4112,-43.2747,51.1649,97.7652,1
244.8686,48.8431,-1.2302,239.9447,207.68,-38.9992,11.7828,203.6449,88.4324,1
142.5939,-26.666999999999998,38.8744,-134.5759,85.3493,21.0156,-37.3284,-73.8203,92.1672,1
103.3803,-60.7032,-17.0258,81.9313,69.3937,22.4571,14.5456,64.028,84.1298,1
58.9827,36.8009,29.9367,35.0492,80.1128,-20.3495,-33.6871,69.7792,89.8546,1
39.2059,-2.2284,-39.0515,-2.6674,76.5881,-11.2406,22.3847,72.3762,89.943,1
67.4852,-44.7624,4.9395,50.2612,79.6835,43.2859,-11.7081,65.8689,90.1357,1
60.7716,42.1193,7.2565,43.203,36.7692,-35.4254,-2.5011,-9.5267,91.1739,1
116.7324,-43.5743,84.3489,67.9191,54.5311,32.0315,39.251,20.1739,78.4898,1
114.1405,39.6277,-22.9576,104.5498,28.4365,-24.9534,13.4339,2.3444,92.7136,1
64.2164,-63.0933,1.7464,-11.8293,36.7688,32.0019,15.2381,-9.7787,92.065,1
38.4184,16.9937,33.7796,-6.7914,94.8048,-19.9013,-28.5016,-88.2017,93.2116,1
63.8789,37.2745,16.6195,-49.1418,53.1828,-33.6544,-16.0887,-37.9071,78.1828,1
77.7265,-26.4131,37.762,-62.5922,78.9088,25.874000000000002,-34.7383,-65.9575,89.4436,1
56.6199,44.1835,4.0573,-35.1734,40.6681,-40.5982,1.3233,-1.9806,89.6812,1
41.9974,36.4632,-20.221,-5.0328,87.5478,-16.8683,25.1531,-82.1425,93.6703,1
