E1,px1,py1,pz1,pt1,eta1,phi1,E2,px2,py2,pz2,pt2,eta2,phi2,M,Class
243.0892,-30.6874,35.1321,238.5715,46.6474,2.3346,2.2888,167.9555,27.6089,-30.3423,162.8684,41.0232,2.0874,2.2888,88.1546,1
67.2936,53.6631,34.369,21.6211,63.7257,0.3331,0.5696,93.8241,-8.1148,21.1934,91.0382,22.6938,2.0975,0.5696,90.0276,1
149.4764,16.055999999999997,59.7842,-136.056,61.9027,-1.5288,1.3084,171.2805,47.7759,-27.991999999999997,-162.083,55.3723,-1.7952,1.3084,94.4076,1
64.8689,37.8488,-20.3793,-48.5811,42.9866,-0.9705,-0.4939,133.9372,-32.859,13.4747,-129.143,35.5145,-2.0025,-0.4939,88.6875,1
58.3456,45.8139,4.6867,35.8236,46.053000000000004,0.7153,0.1019,53.9259,-45.7163,-4.0837,28.3082,45.8983,0.5831,0.1019,92.1501,1
161.2333,21.8796,-57.2983,149.1119,61.3336,1.6214,-1.206,75.4071,-26.6632,20.639,67.4488,33.7179,1.4438,-1.206,87.9395,1
68.8611,33.8692,40.516,-44.1948,52.8078,-0.7612,0.8745,83.6923,-28.0093,-23.6935,-75.223,36.6865,-1.466,0.8745,93.2447,1
194.575,-107.7174,36.7685,-157.8114,113.8199,-1.1301,2.8127,154.4286,-50.17100000000001,101.5877,-104.9333,113.3014,-0.8282,2.8127,93.2603,1
185.2356,23.0244,42.2192,-178.8845,48.0893,-2.0244,1.0715,113.5976,-20.9787,-36.5639,-105.4865,42.1548,-1.6481,1.0715,91.6423,1
53.0486,14.5482,-50.9666,2.2154,53.0023,0.0418,-1.2927,40.0215,-9.3432,38.8712,-1.8583,39.9783,-0.0465,-1.2927,92.1332,1
60.7409,-46.17,-38.6015,-8.2288,60.1809,-0.1363,-2.4452,62.1492,-50.2471,-21.334,29.7089,54.5885,0.5204,-2.4452,41.8578,1
76.1962,-4.0394,54.1195,-53.4848,54.2701,-0.8711,1.6453,75.6645,16.6884,-32.0614,-66.4732,36.1446,-1.3693,1.6453,89.5835,1
45.8168,-9.3354,44.5138,-5.5271,45.4822,-0.1212,1.7775,83.3398,17.748,-11.5353,-80.6068,21.1673,-2.0471,1.7775,90.0222,1
84.8239,35.6464,29.409000000000002,-71.1305,46.211999999999996,-1.2163,0.6898,32.3405,-24.8495,-8.8243,-18.7228,26.3698,-0.6608,0.6898,71.5094,1
110.4878,-7.5304,-85.3183,69.7971,85.65,0.7443,-1.6588,43.9321,-24.8927,-25.8534,-25.3375,35.8893,-0.6576,-1.6588,91.9698,1
111.5705,-5.5588,51.1684,-98.9892,51.4695,-1.4088,1.679,72.4556,-2.0398,-39.7307,-60.5568,39.7831,-1.207,1.679,90.6759,1
167.2059,60.3804,3.3680000000000003,155.8868,60.4743,1.6757,0.0557,58.758,-47.6163,-17.1242,29.8656,50.6018,0.5604,0.0557,127.2934,1
36.3197,-11.5032,34.0479,5.2477,35.9386,0.1455,1.8966,72.6043,11.5605,-29.9433,-65.124,32.0974,-1.4565,1.8966,90.8978,1
158.2261,-15.6352,48.7937,149.7004,51.2376,1.7934,1.8809,190.2033,11.7031,-34.8077,186.6246,36.7224,2.3284,1.8809,89.8746,1
99.0669,12.4873,-38.9299,-90.2373,40.8836,-1.5326,-1.2604,180.7182,8.6075,35.4836,-176.9912,36.5127,-2.2821,-1.2604,80.0732,1
48.3926,46.9863,-3.0613,-11.1694,47.0859,-0.235,-0.0651,55.3162,-34.9272,-8.8717,-41.9674,36.0363,-0.9931,-0.0651,87.4309,1
58.3703,-31.6576,-14.9304,-46.7115,35.0017,-1.0993,-2.7009,36.4098,28.7951,3.7625,21.9626,29.0399,0.6982,-2.7009,90.7625,1
50.7681,28.5911,41.4644,-6.3764,50.3661,-0.1263,0.9671,43.475,-21.680999999999997,-36.7386,8.3836,42.659,0.1953,0.9671,93.8491,1
87.8068,31.4243,32.4443,75.2989,45.1677,1.284,0.8014,45.4825,-19.2807,-39.5631,11.4749,44.0112,0.2579,0.8014,100.1909,1
71.0181,43.8906,-1.9961,-55.7961,43.93600000000001,-1.06,-0.0454,49.7389,-39.1539,1.8595,-30.6182,39.1981,-0.7179,-0.0454,84.2163,1
94.3404,-39.313,-3.8353,85.6732,39.4996,1.5167,-3.0443,40.3386,38.0838,0.5711,13.2855,38.0881,0.3421,-3.0443,91.2878,1
52.1578,18.656,44.2423,20.3717,48.0149,0.4125,1.1717,41.1774,-17.2735,-27.9553,-24.8134,32.8614,-0.6972,1.1717,91.7853,1
83.9212,38.9923,20.3315,-71.4773,43.9747,-1.2624,0.4806,162.6386,-32.0935,-22.0357,-157.9106,38.9302,-2.1083,0.4806,90.1247,1
200.2446,-40.2052,8.8582,-195.9668,41.1695,-2.2643,2.9247,145.3896,39.8684,-9.9724,-139.4604,41.0967,-1.936,2.9247,83.3683,1
175.3178,4.8439,-31.8929,172.3244,32.2587,2.3774,-1.4201,37.6786,-9.5849,30.5738,19.8255,32.041,0.5848,-1.4201,91.7695,1
48.5826,-24.3827,-40.4426,11.4085,47.2241,0.2393,-2.1133,50.9384,23.2818,30.8512,33.1796,38.6502,0.7777,-2.1133,88.4485,1
34.0612,5.4491,30.4486,14.2601,30.9324,0.4461,1.3937,70.8782,-11.1518,-26.7793,-64.6701,29.0085,-1.5417,1.3937,91.7884,1
125.1153,36.8346,59.533,-103.6961,70.0069,-1.1843,1.0167,68.5525,-18.0228,-41.611999999999995,-51.4108,45.3474,-0.9728,1.0167,113.0224,1
60.464,14.748,48.336000000000006,33.1966,50.5359,0.617,1.2747,55.9482,10.6751,-37.568000000000005,-40.061,39.0552,-0.8995,1.2747,112.8821,1
42.475,-30.0936,-29.4929,5.3547,42.1362,0.1267,-2.3663,37.3536,29.5142,19.9662,11.2051,35.6334,0.3095,-2.3663,77.5067,1
136.8919,-47.827,-6.5207,128.0994,48.2694,1.7029,-3.0061,149.3135,36.7982,-9.0915,144.4222,37.9046,2.0476,-3.0061,85.3239,1
133.6245,26.8215,36.8087,125.6233,45.5442,1.7391,0.9411,103.4691,-28.5337,-34.827,93.1599,45.0232,1.4741,0.9411,91.3258,1
45.1391,-10.0127,-41.5609,-14.4903,42.75,-0.3328,-1.8072,100.3648,22.291999999999998,24.6703,-94.6971,33.2499,-1.7693,-1.8072,93.8798,1
50.5738,48.8556,-8.3021,-10.0953,49.556000000000004,-0.2023,-0.1683,48.9753,-42.2764,-9.9344,-22.6406,43.4279,-0.5002,-0.1683,91.992,1
52.6968,46.4368,24.9108,-0.1724,52.6965,-0.0033,0.4924,41.9827,-36.7507,-19.5062,5.607,41.6066,0.1344,0.4924,93.8703,1
53.5028,6.5248,-45.4567,27.4529,45.9226,0.5669,-1.4282,44.6141,1.0222,44.4483,3.7039999999999997,44.46,0.0832,-1.4282,92.7264,1
38.3291,-6.2064,-37.7888,-1.6144,38.295,-0.0421,-1.7336,59.5945,5.1994,34.3564,48.416000000000004,34.7476,1.1341,-1.7336,85.9409,1
54.9222,-33.9484,-29.8366,31.2046,45.1965,0.6448,-2.4206,51.0687,27.1358,26.7392,34.01,38.0964,0.8035,-2.4206,83.2173,1
69.6251,31.9696,46.2813,-41.0323,56.2496,-0.6766,0.9663,37.7927,-18.3096,-30.3445,-13.1245,35.4405,-0.3623,0.9663,90.3607,1
123.7767,40.5594,34.3651,111.7794,53.1604,1.4886,0.7029,57.7347,-20.7786,-32.0352,43.3047,38.1838,0.9731,0.7029,92.1878,1
57.1225,10.4566,-37.5648,41.7436,38.9931,0.9304,-1.2993,202.3834,-11.039000000000001,35.4207,198.9536,37.1011,2.3812,-1.2993,96.9703,1
106.7179,25.5882,30.366999999999997,-99.0546,39.7104,-1.6452,0.8706,50.7663,-2.1821,-37.507,-34.1421,37.5704,-0.8154,0.8706,80.381,1
102.85,24.4012,-23.9802,96.9931,34.2121,1.765,-0.7767,26.2917,-20.0023,16.0185,-5.8796,25.6259,-0.2275,-0.7767,91.0669,1
92.0088,-13.237,-52.473,74.4109,54.1168,1.1234,-1.8179,64.1895,37.7156,21.8803,47.107,43.603,0.9371,-1.8179,89.9787,1
202.7703,29.9966,-58.4555,191.8305,65.7027,1.7927,-1.0967,96.7233,-14.2376,46.3887,83.6706,48.5244,1.3131,-1.0967,115.7651,1
335.0046,-31.3497,-55.3745,-328.9057,63.6329,-2.345,-2.0859,111.5417,-18.4461,43.4689,-101.0532,47.2208,-1.5046,-2.0859,109.1678,1
