E1,pt1,eta1,phi1,E2,pt2,eta2,phi2,Rapidity,Pt,Class
60.0304,44.7935,-0.8031,0.1081,41.3671,40.7866,-0.1685,0.1081,-0.5002,4.64,1
129.6615,48.4037,1.6417,-3.009,121.0277,33.7873,1.949,-3.009,1.7682,28.1865,1
49.6398,49.3886,-0.1008,1.1058,47.7026,40.6295,-0.5818,1.1058,-0.3183,10.8384,1
174.5077,58.8034,-1.7512,2.0659,75.5801,33.2465,-1.4621,2.0659,-1.6465,26.4718,1
58.4992,49.2229,0.6047,2.6353,62.6158,45.3065,0.8484,2.6353,0.7215,16.7971,1
177.7411,33.2659,-2.3601,-2.3064,26.718,25.4919,-0.3089,-2.3064,-1.437,15.5529,1
140.6999,25.3457,-2.399,-1.5591,24.3145,24.2438,0.0764,-1.5591,-1.1801,28.851,1
60.1951,54.2374,-0.4645,2.1491,37.4613,20.8486,1.1908,2.1491,0.0514,38.3201,1
48.0739,40.6727,-0.5945,-1.1012,111.6,39.8846,-1.6885,-1.1012,-1.1366,5.6071,1
198.123,39.6897,-2.2908,1.6497,75.1613,38.293,-1.2952,1.6497,-1.8012,1.3979,1
171.3794,48.2,1.9413,1.8376,144.0211,43.6088,1.8641,1.8376,1.9046,6.2266,1
69.4884,37.5501,-1.226,-1.532,172.3621,35.1801,-2.2717,-1.532,-1.7332,2.673,1
31.2328,30.9234,-0.1413,2.4233,112.9209,29.5859,-2.0149,2.4233,-1.0619,3.6537,1
43.3346,43.2213,-0.0724,-2.4428,48.5125,43.1526,0.4934,-2.4428,0.2103,4.9867,1
146.8028,52.1379,-1.6952,-2.001,65.3501,39.4093,-1.0923,-2.001,-1.4345,14.6172,1
131.5746,57.6574,1.4663,0.6809,40.0589,32.4138,0.674,0.6809,1.1761,27.8944,1
43.635,38.5381,0.5088,1.9888,144.838,26.2932,2.3911,1.9888,1.3101,12.5108,1
59.4023,59.2877,-0.0621,-2.2037,42.8677,39.7371,-0.3944,-2.2037,-0.1958,40.9728,1
59.2206,39.1871,-0.9724,-0.8929,34.379,29.8315,0.5454,-0.8929,-0.3005,15.2016,1
42.4769,42.0011,-0.1504,-0.2404,61.9305,40.2359,0.9967,-0.2404,0.412,28.7987,1
73.5743,54.992,0.8005,0.7957,38.6056,36.4346,0.3435,0.7957,0.6176,19.0309,1
112.6203,29.8797,2.0019,0.6041,29.0279,28.9553,0.0708,0.6041,1.0481,6.8014,1
157.9325,39.5327,2.0621,-2.5549,52.6303,38.7122,0.8244,-2.5549,1.4491,2.7931,1
63.7998,39.2513,1.0671,2.0178,81.2448,39.0018,1.3637,2.0178,1.2149,9.5923,1
96.0344,50.0314,-1.2692,0.9137,40.1312,35.8727,-0.4826,0.9137,-0.9376,33.6581,1
68.9226,50.4857,0.8305,1.7627,121.1322,34.021,1.9427,1.7627,1.2879,22.3841,1
83.9557,43.3523,-1.2795,-2.9645,47.531,40.7147,-0.5709,-2.9645,-0.9359,2.8876,1
